Guide	Gene	aav3	aav4	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	17	18	19	20
Nrip2_+_128400259.23-P1P2	Nrip2	638	621	203	175	94	216	161	267	268	237	339	249	323	109	425	153	239	205	655	449	559
Htt_-_34761777.23-P1P2	Htt	1863	1786	1238	374	1010	934	555	1027	1023	837	1272	845	948	414	1119	992	657	736	1375	1125	1169
Snx5_-_144270732.23-P1P2	Snx5	3299	3430	2005	919	1108	1318	1100	2020	2047	1763	1980	1741	2006	1007	2422	1294	1554	1416	2134	2217	1870
Fbxw18_-_109702438.23-P1P2	Fbxw18	2961	3094	1030	573	957	941	733	1297	1257	981	1477	869	1296	472	1639	1682	1121	1345	1614	1837	1357
Klhl1_-_96518874.23-P1P2	Klhl1	2353	2712	1306	415	1066	859	754	1289	823	1325	1307	937	1243	509	1602	1229	1141	1411	1780	1927	1472
Hes1_+_30065397.23-P1P2	Hes1	5099	5750	2179	917	2008	1499	1626	2715	2416	2382	2666	2048	2780	1255	3525	2308	2049	1984	4218	3295	3076
Ccdc34_-_110021934.23-P2	Ccdc34_P2	1149	1301	521	213	646	600	314	708	549	637	629	529	590	268	802	668	501	431	591	591	618
Thoc1_+_9958187.23-P1P2	Thoc1	620	717	290	208	181	308	212	371	356	398	333	340	385	172	733	414	356	374	444	550	424
Hist1h2af_+_23533808.23-P1P2	Hist1h2af	3914	4063	1861	823	1340	1934	1102	1368	1811	1663	1983	1357	1860	771	2351	1875	1550	1187	2052	2194	2204
Cpa3_+_20241896.23-P1P2	Cpa3	1823	2006	966	361	593	576	647	1098	791	777	971	766	957	291	1304	1049	691	716	1557	1076	1222
Serhl_-_83100500.23-P1P2	Serhl	1171	1209	552	323	661	297	447	784	705	539	790	480	547	377	1065	751	539	481	829	759	930
Ubap1_-_41349099.23-P1P2	Ubap1	5215	4949	1394	549	744	654	745	1071	1295	1181	1474	1080	1132	549	1857	1277	754	717	1466	1708	1753
Olfr1052_+_86298011.23-ENSMUST00000054746.2	Olfr1052	3191	3333	1261	373	1696	648	982	1528	1318	1605	1552	1012	1308	752	2324	1548	1239	1183	2416	1687	1686
Ttc24_+_88072027.23-P1	Ttc24_P1	471	540	186	75	415	70	148	329	280	235	196	128	255	91	312	202	139	185	307	199	222
Rilp_-_75510266.23-P1P2	Rilp	2176	2434	1119	503	471	538	646	1550	1219	1253	1342	844	1174	572	1764	1394	1039	908	1326	1470	1513
Iqgap2_+_95891850.23-P1P2	Iqgap2	4190	4300	2662	902	2155	1547	1211	2127	2286	2062	2265	1824	1973	1090	2736	2491	1585	1700	3320	2303	2168
Ctse_-_131638460.23-P2	Ctse_P2	1335	1316	612	202	182	500	307	551	604	454	686	433	743	309	958	900	562	595	830	781	626
Rab42_+_132303279.23-P1P2	Rab42	1550	1721	705	503	502	592	387	698	705	774	865	503	742	316	1115	799	523	626	1296	1072	811
Gabarapl1_+_129533245.23-P1P2	Gabarapl1	148	159	182	55	0	133	50	129	7	49	97	80	175	66	143	75	184	52	67	72	69
Lmna_-_88503236.23-P1P2	Lmna	568	550	485	8	536	170	143	237	310	245	279	249	368	123	454	413	254	301	315	235	533
Mlx_+_101087355.23-P1P2	Mlx	959	867	390	355	329	392	250	360	378	328	483	291	453	196	921	441	265	269	758	621	710
Rnf130_-_50025545.23-P1P2	Rnf130	3281	3577	1951	781	800	1885	1024	2072	1477	1492	2098	1308	1836	708	2699	2253	1610	1589	2449	2421	2094
Tom1l1_+_90687503.23-P1P2	Tom1l1	2257	2216	1510	523	1164	972	606	1547	1219	901	1252	951	1140	438	1732	1227	861	894	1666	1365	1211
Dhh_+_98898277.23-P1P2	Dhh	1328	1408	582	307	405	453	420	567	531	681	565	443	641	338	926	637	489	545	788	1018	673
Creb3l2_-_37442123.23-P1P2	Creb3l2	1314	1365	805	357	689	374	520	716	544	707	848	485	670	244	973	1070	377	524	922	566	839
Glra4_+_136780108.23-P1P2	Glra4	3983	4352	1940	813	1586	894	1282	2270	2047	1615	2121	1482	1888	861	2910	2445	1702	1854	2912	2156	2332
Ctsc_+_88278208.23-P1P2	Ctsc	2294	2288	1182	486	1199	1155	587	1294	904	951	1248	938	1221	524	1893	1345	1117	977	1354	1407	1373
Osbpl5_+_143740305.23-P1P2	Osbpl5	1903	2139	1125	371	610	658	560	1083	1062	755	1158	874	991	264	1625	1104	569	791	1362	1351	1547
Dio3_+_110279279.23-P1P2	Dio3	1416	1503	1072	390	547	805	491	935	816	664	958	628	852	316	1336	847	722	613	1099	965	1128
Fau_+_6058361.23-P1P2	Fau	1128	1159	644	253	230	448	322	584	522	543	604	460	796	209	1026	541	620	479	1143	935	666
Ifna11_+_88819978.23-ENSMUST00000170428.1	Ifna11	3550	3478	1764	560	810	879	931	1705	1387	1294	1728	1414	1856	760	2602	1404	1419	1467	2287	1911	1852
B4galnt2_+_95914865.23-P1P2	B4galnt2	945	959	402	193	216	397	297	440	439	426	450	375	686	244	659	894	572	333	891	804	712
Gys2_+_142472875.23-P1P2	Gys2	1768	1757	654	401	794	434	541	580	850	789	930	648	1025	379	1003	1152	565	941	1308	840	828
Tor4a_-_25196821.23-P1P2	Tor4a	6790	7360	3555	1556	2156	2719	1745	3238	3063	3051	3189	2899	3319	1526	4751	3745	2541	2586	4511	3476	3704
Lefty2_-_180893175.23-P1P2	Lefty2	2635	2884	909	761	813	1027	792	1377	1438	1204	1417	1275	1786	508	1767	1392	1110	804	2154	1672	1480
