Guide	Gene	c1	c2	c3	t1	t2	t3	t4
Aarsd1_+_101417310.23-P1	Aarsd1	11654	3527	2768	10710	6717	1653	1289
Ifit2_+_34550688.23-P1P2	Ifit2	4341	1418	1046	3710	1933	700	407
Cct6a_-_129787468.23-P1P2	Cct6a	4350	1442	1120	4375	2533	584	350
Ttc26_-_38381569.23-P1P2	Ttc26	9024	2894	2275	8606	5079	1249	921
Sacs_+_61173073.23-P1P2	Sacs	13949	4534	3555	13109	7452	1980	1405
Hspe1_-_55088613.23-P1P2	Hspe1	13735	4402	3370	12281	7551	1940	1352
Rapsn_+_91035642.23-P1P2	Rapsn	9285	2822	2254	9130	5378	1196	915
non-targeting_01099	non-targeting	15305	4866	3872	14313	7927	2034	1431
Tomm70a_+_57121795.23-P1P2	Tomm70a	13810	4017	2947	14348	6814	1839	1340
Pin1_+_20652160.23-P1P2	Pin1	2858	917	684	2664	1557	420	305
Ptgds_-_25469172.23-P1P2	Ptgds	6137	1998	1571	5928	2923	889	611
Edem2_+_155729199.23-P1P2	Edem2	3313	944	718	3373	1601	439	334
Unc45b_-_82911380.23-P1P2	Unc45b	14484	4123	3298	13913	7071	1842	1385
P4ha2_+_54113262.23-P2	P4ha2	7395	2895	2196	6534	4038	1029	723
Nasp_+_116627618.23-P1P2	Nasp	9927	2700	1998	8455	5013	1235	836
Nudcd3_-_6200167.23-P1P2	Nudcd3	8159	2220	1640	7050	4340	933	648
Agr3_+_35925663.23-P1P2	Agr3	13315	4146	3203	11979	7444	1992	1455
non-targeting_00023	non-targeting	10652	3495	2791	9054	5523	1451	1046
Fkbp10_+_100415781.23-P1P2	Fkbp10	8308	2617	2039	8447	5198	1184	800
Asna1_+_85025071.23-P1P2	Asna1	9963	3119	2292	9178	5903	1523	1154
Hspa2_+_76404395.23-P1P2	Hspa2	4905	1649	1310	4495	2251	802	452
Klc2_+_5118234.23-P1P2	Klc2	808	225	177	811	413	94	78
Ppih_+_119320496.23-P1P2	Ppih	10764	3428	2494	10084	5550	1650	1062
non-targeting_00282	non-targeting	8103	2917	2346	6741	4056	1186	881
Pex5_+_124414998.23-P1P2	Pex5	16180	4156	3202	14113	9164	1935	1456
Unc45a_-_80339990.23-P1P2	Unc45a	10103	3137	2514	8654	5422	1395	948
Ogt_+_101640130.23-P1P2	Ogt	4657	1775	1375	4807	2745	624	576
non-targeting_00831	non-targeting	16302	5000	3865	12773	7323	2348	1571
non-targeting_01609	non-targeting	7522	1919	1510	6824	4228	898	640
Prdx4_+_155338325.23-P1P2	Prdx4	8095	2414	1843	6618	4002	1050	711
Dcp1b_-_119175701.23-P1P2	Dcp1b	12277	3846	3061	12645	6836	1773	1230
Chordc1_+_18292570.23-P1P2	Chordc1	7535	2163	1676	7206	4334	1132	793
Ttc26_-_38381616.23-P1P2	Ttc26	3014	1173	895	3116	1618	404	361
Ttc6_+_57564321.23-P1P2	Ttc6	8098	2409	1812	7097	4617	967	618
Dnajc27_+_4082664.23-P1P2	Dnajc27	1333	336	255	1213	492	188	176
non-targeting_01576	non-targeting	11043	2953	2321	9282	5131	1302	853
non-targeting_01571	non-targeting	9496	2289	1777	9080	5416	1018	763
non-targeting_01597	non-targeting	4165	1412	1210	3874	2480	747	387
Dnaja3_-_4684166.23-P1P2	Dnaja3	8228	2543	1868	6973	3614	1047	791
Tmx2_-_84677835.23-P1P2	Tmx2	9142	3297	2532	7513	4287	1443	891
Cct6b_+_82764253.23-P1P2	Cct6b	17756	5994	4479	12905	7494	2413	1553
Dnajb12_+_59879672.23-P1P2	Dnajb12	10794	3894	2825	9520	5916	1560	1169
non-targeting_00554	non-targeting	1510	489	363	1543	902	189	161
P4ha3_-_100285544.23-P1P2	P4ha3	9462	3119	2379	8533	4740	1508	984
non-targeting_00847	non-targeting	6913	2297	1743	6603	3905	1083	842
Qsox2_+_26237304.23-P1P2	Qsox2	11861	3624	2911	11082	6049	1763	1089
Cacybp_-_160212568.23-P1P2	Cacybp	3723	366	309	3844	2356	280	204
non-targeting_01107	non-targeting	16145	4847	3731	14550	8670	2392	1656
non-targeting_00036	non-targeting	11299	3714	2880	9968	5349	1669	1297
non-targeting_01591	non-targeting	11082	3783	2983	9410	4760	1631	1124
Plod1_-_147936703.23-P1P2	Plod1	10396	2906	2219	9653	5093	1267	893
Phb_-_95667055.23-P1P2	Phb	18247	5909	4564	15839	8610	2439	1826
Bag2_-_33757728.23-P1P2	Bag2	15494	3914	2801	13784	7339	1875	1256
Cryab_+_50753429.23-P1P2	Cryab	9892	2950	2249	8967	5821	1322	927
Hspa9_-_34954323.23-P1P2	Hspa9	20162	5956	4406	14212	9122	2363	1629
Xab2_+_3621281.23-P1P2	Xab2	11807	3099	2285	10212	6433	1346	1038
Psmd2_-_20651669.23-P1P2	Psmd2	2935	785	610	2597	1619	318	242
Qsox1_-_155812807.23-P1P2	Qsox1	3038	858	645	2561	1707	381	255
Serpinh1_+_99353072.23-P1P2	Serpinh1	7830	2428	1899	7188	4230	1073	740
Fkbpl_+_34645038.23-P1P2	Fkbpl	6829	1972	1507	6164	4187	796	626
Dnajb13_-_100514775.23-P1P2	Dnajb13	4760	1275	1004	4287	2538	616	368
Ficd_+_113735852.23-P1P2	Ficd	11692	3412	2617	10045	5380	1536	1070
Hspb1_-_135887988.23-P1P2	Hspb1	4966	1605	1318	4171	2838	660	468
Asph_+_9669076.23-P1P2	Asph	12085	4125	3040	10374	5670	1835	1125
Txndc12_-_108834740.23-P1P2	Txndc12	7675	2469	1962	7154	3742	1195	799
Srp68_-_116274159.23-P1P2	Srp68	21706	6059	4780	16595	10640	2240	1610
Fkbp1a_+_151542613.23-P1P2	Fkbp1a	16017	4369	3325	14041	8629	1908	1582
Faxc_-_21931363.23-P1P2	Faxc	11684	3537	2595	9890	5442	1457	1075
non-targeting_01342	non-targeting	6482	1699	1284	5930	3239	811	611
Ttc8_-_98920642.23-P1P2	Ttc8	2311	739	628	2254	1450	342	236
Bbs10_-_111298740.23-P1P2	Bbs10	12054	3031	2287	11520	6047	1491	990
Bag2_+_33757745.23-P1P2	Bag2	14285	4459	3464	13786	8880	2018	1542
Dnajb12_+_59879626.23-P1P2	Dnajb12	18671	4983	3881	16815	10060	2540	1686
Vcp_-_43000164.23-P1P2	Vcp	10142	3086	2282	7395	4447	1219	821
Tmtc2_-_105574193.23-P1P2	Tmtc2	9202	2861	1955	8084	4370	1169	760
Fkbp9_+_56832185.23-P1P2	Fkbp9	11432	3556	2679	9659	5796	1635	1233
Lrp2bp_+_45999569.23-P2	Lrp2bp	12215	3892	3059	10723	6171	1666	1131
Nudcd1_-_44427520.23-P1P2	Nudcd1	21817	8102	6337	18894	10584	3441	2474
Nudcd3_-_6200135.23-P1P2	Nudcd3	9202	2780	2217	8169	4725	1323	1040
non-targeting_01323	non-targeting	10871	3690	2773	9668	4890	1592	1209
Hspe1_+_55088568.23-P1P2	Hspe1	19748	5741	4403	16971	10913	2717	1874
Hspb3_+_113663522.23-P1P2	Hspb3	6692	2371	1815	6067	2944	954	675
Atf6_+_170867739.23-P1P2	Atf6	8348	2714	2153	7596	4923	1142	774
non-targeting_01604	non-targeting	1483	602	436	1451	938	218	161
Hspb7_+_141420809.23-P1P2	Hspb7	8550	2820	2293	8677	5120	1314	919
Ptges3_+_128059041.23-P1P2	Ptges3	16484	5446	4002	15008	7891	2356	1681
Dyx1c1_+_72958822.23-P1P2	Dyx1c1	9375	2282	1698	7246	4304	973	632
Bag5_+_111713070.23-P1P2	Bag5	20002	5996	4557	17342	9947	2534	1847
Emc2_+_43477251.23-P1P2	Emc2	21144	5293	4100	15682	8453	2057	1545
Hspb2_+_50752298.23-P1P2	Hspb2	15550	5240	3956	14610	8112	2306	1600
Ppih_-_119320347.23-P1P2	Ppih	15565	5153	3968	16282	9881	2307	1674
non-targeting_00845	non-targeting	5270	1594	1156	4309	2420	704	576
non-targeting_01357	non-targeting	11467	2895	2336	11607	6645	1545	1107
Sgtb_-_104109813.23-P1P2	Sgtb	14643	3913	2979	13471	7261	1716	1266
Lrp2bp_+_45999339.23-P2	Lrp2bp	5085	1511	1181	4886	2509	743	473
Ptplad1_+_65021418.23-P1P2	Ptplad1	17150	4987	3656	14901	8654	2377	1818
Tusc3_+_39006122.23-P1P2	Tusc3	14241	4499	3614	13017	8034	1914	1404
Hyou1_-_44379595.23-P1P2	Hyou1	15757	4466	3352	12863	8139	1846	1237
Qsox1_-_155812804.23-P1P2	Qsox1	10155	2778	2064	8739	4949	1351	828
non-targeting_00572	non-targeting	11126	3409	2783	10496	6743	1494	1204
Eif2ak3_-_70844666.23-P1P2	Eif2ak3	11020	2945	2337	9356	5423	1157	875
Eif2ak3_-_70844621.23-P1P2	Eif2ak3	21710	6266	4629	17774	9641	2782	1908
Cct3_+_88297243.23-P1P2	Cct3	20855	6064	4528	17810	10086	2665	1808
Hspb2_-_50752261.23-P1P2	Hspb2	23439	7095	5454	20226	10801	3051	2162
Dnajc4_-_6992500.23-P1P2	Dnajc4	1010	365	279	1174	738	139	106
Dyx1c1_-_72958866.23-P1P2	Dyx1c1	11204	3165	2502	10080	5422	1356	897
Aipl1_-_72037248.23-P1P2	Aipl1	16934	4886	3925	16944	10418	2311	1656
Hspa8_-_40801353.23-P1	Hspa8	6296	2072	1669	3170	1774	575	400
Cdc37_-_21149927.23-P1P2	Cdc37	8985	2893	2288	6324	4078	1028	590
Bbs4_+_59353389.23-P1P2	Bbs4	16047	5784	4486	16473	9140	2479	1763
Nudcd3_-_6200183.23-P1P2	Nudcd3	9551	2573	2023	8039	4586	1113	753
Edem1_+_108828737.23-P1P2	Edem1	4881	1538	1183	4698	2372	676	451
Cryaa_+_31677930.23-P1P2	Cryaa	19263	5576	4274	17311	10652	2583	1959
Bag5_-_111713047.23-P1P2	Bag5	2387	656	506	2147	1264	298	266
Ppil6_+_41490663.23-P1P2	Ppil6	15970	4678	3483	13934	8283	2069	1477
Ttc30b_+_75937959.23-P1P2	Ttc30b	20696	6525	4883	20343	10975	2679	1840
Psmg3_-_139826831.23-P1P2	Psmg3	11837	4092	3111	8881	4497	1415	999
Ttc13_+_124721727.23-P1P2	Ttc13	18229	5803	4540	15714	8847	2607	1725
non-targeting_01076	non-targeting	12453	3313	2659	11181	5906	1556	1103
non-targeting_01362	non-targeting	12608	3715	2782	10420	6615	1657	1211
Dnajc14_-_128805660.23-P1P2	Dnajc14	12620	3550	2782	11109	5478	1481	1117
Dnajc22_-_99099502.23-P1P2	Dnajc22	21531	6863	5454	19996	11720	2947	2105
Erp29_-_121452399.23-P1P2	Erp29	10536	3062	2297	9228	4768	1232	822
Ttc17_-_94404976.23-P2	Ttc17	12651	4218	3333	12341	7273	1723	1172
Hsp90aa1_+_110696315.23-P1P2	Hsp90aa1	11247	3331	2586	11454	6382	1595	1200
Stip1_+_7039961.23-P1P2	Stip1	16812	4562	3451	15303	9172	2128	1447
non-targeting_00546	non-targeting	17381	5320	4119	15066	7918	2369	1827
Cct7_-_85452127.23-P1P2	Cct7	10170	3172	2397	6933	4589	1175	765
Ttc17_+_94404802.23-P2	Ttc17	2998	1140	840	3208	1776	529	456
Txndc5_-_38528387.23-P1P2	Txndc5	10055	2534	1848	9748	5255	1205	815
Ppil6_+_41490516.23-P1P2	Ppil6	12024	3456	2566	10737	5936	1563	1235
Gak_-_108629711.23-P1P2	Gak	12898	3774	3025	10846	6276	1576	1224
Dnajc2_+_21785017.23-P1P2	Dnajc2	18253	4441	3145	14949	8931	2072	1428
Cct7_-_85452272.23-P1P2	Cct7	10379	3355	2530	6241	4283	1245	843
Dnajc3_-_118938009.23-P1P2	Dnajc3	14748	4298	3310	12013	6877	1963	1209
Qsox1_+_155812790.23-P1P2	Qsox1	9948	2968	2253	8905	4197	1324	945
non-targeting_00828	non-targeting	5885	1615	1215	4967	3030	739	441
Opa1_-_29579409.23-P1P2	Opa1	10711	3172	2289	10104	5624	1464	1078
Dnajc16_+_141790457.23-P1P2	Dnajc16	14765	4168	3151	13330	7974	1970	1444
Aarsd1_+_101417351.23-P1	Aarsd1	10108	2757	2082	8499	4643	1139	892
Dnajb2_-_75236713.23-P1P2	Dnajb2	8925	2399	1849	9057	5161	1247	848
Dnajb11_-_22858035.23-P1P2	Dnajb11	15528	4817	3901	13522	9111	2102	1627
Serpinh1_-_99353105.23-P1P2	Serpinh1	7247	2158	1665	6714	3832	1005	834
Plod3_-_136987694.23-P1P2	Plod3	14136	3886	3136	10838	7140	1808	1211
Cct6b_+_82764223.23-P1P2	Cct6b	13382	4203	3172	8096	5202	1404	898
Lonrf1_+_36249490.23-P1P2	Lonrf1	8636	2056	1535	6922	3540	915	657
Ttc4_-_106678841.23-P1P2	Ttc4	12766	3181	2519	10643	7036	1218	989
Hsf5_-_87617387.23-P1P2	Hsf5	8315	2528	1833	6961	3927	1090	773
Pfdn1_-_36454489.23-P1P2	Pfdn1	10849	3266	2415	10053	5895	1622	1097
Atad3a_+_155761038.23-P1P2	Atad3a	7600	2153	1605	6219	3779	816	625
Dnajc25_+_59003619.23-P1P2	Dnajc25	15534	4260	3357	13232	7796	1964	1374
non-targeting_00571	non-targeting	11353	2958	2230	10965	6347	1434	1035
Ttc33_+_5185994.23-P1P2	Ttc33	7648	2653	2000	7199	4252	1242	851
Agr2_-_35992925.23-P1P2	Agr2	5818	1979	1470	5429	3133	756	592
Klc4_+_46645984.23-P1P2	Klc4	15470	4717	3432	13221	7322	2210	1637
Hsph1_-_149635996.23-P1P2	Hsph1	9224	1973	1461	7843	3922	773	567
Edem1_+_108828907.23-P1P2	Edem1	13941	3898	2972	13415	7625	1745	1292
Ttc33_+_5185751.23-P1P2	Ttc33	2088	730	547	1885	1152	248	230
Sh3tc2_-_61953050.23-P1P2	Sh3tc2	12512	3571	2744	11925	6338	1635	1123
Klc4_+_46645063.23-P1P2	Klc4	20706	5725	4410	18417	10655	2329	1674
Hspa12b_+_131127437.23-P1P2	Hspa12b	9527	2445	1898	9370	5820	1165	842
Odf1_+_38219554.23-P1P2	Odf1	13045	3635	2752	10658	6532	1670	1103
Tmx3_+_90510209.23-P1P2	Tmx3	13302	4033	3032	11664	6517	1702	1199
Sgta_+_81060121.23-P1P2	Sgta	15175	4555	3455	12960	8347	2019	1422
Bag2_-_33757701.23-P1P2	Bag2	2549	712	566	2317	1031	323	253
Cct3_+_88297415.23-P1P2	Cct3	14252	4792	3691	12852	7357	1822	1443
Tmx3_+_90510250.23-P1P2	Tmx3	6457	1956	1410	6813	3429	905	657
Sugt1_+_79588048.23-P1P2	Sugt1	17725	5839	4440	16920	9999	2236	1787
Hspa2_+_76404244.23-P1P2	Hspa2	2894	890	701	3112	1553	363	315
Ahsa2_-_23497885.23-P1P2	Ahsa2	12079	3245	2604	11048	5718	1279	917
Ttc25_+_100546189.23-P1P2	Ttc25	4083	1183	895	3816	2043	410	345
Crnkl1_-_145934874.23-P1P2	Crnkl1	7921	2157	1719	5984	2957	793	610
Dnajc4_+_6992562.23-P1P2	Dnajc4	9646	3381	2553	9178	5900	1531	974
non-targeting_00536	non-targeting	2367	783	598	2676	1161	324	236
Ero1lb_+_12565998.23-P1P2	Ero1lb	13753	4127	2982	12158	6460	1922	1159
Hspb6_-_30553318.23-P1P2	Hspb6	11515	3370	2490	11341	6314	1621	1196
Ttc24_+_88077830.23-P2	Ttc24	11933	4052	3061	10761	6084	1747	1231
non-targeting_00836	non-targeting	11574	3947	2935	11123	6295	1879	1260
Vcp_-_43000462.23-P1P2	Vcp	8747	2843	2190	7694	4764	1234	785
non-targeting_00272	non-targeting	9798	2752	2204	8753	5457	1307	947
Tor4a_-_25196772.23-P1P2	Tor4a	10545	3081	2282	10682	5763	1341	1031
Dnajb1_+_83608277.23-P1P2	Dnajb1	8054	2346	1957	6863	4125	1210	680
Bag5_+_111713073.23-P1P2	Bag5	13406	4614	3617	12623	7280	2020	1225
non-targeting_00559	non-targeting	9438	3083	2307	8395	4957	1290	937
Fkbp5_+_28517100.23-P2	Fkbp5	6085	1957	1483	5468	3331	785	605
Fkbp2_+_6980414.23-P1P2	Fkbp2	17293	5114	3994	14961	9805	2302	1689
Txnrd3_+_89644075.23-P1P2	Txnrd3	10684	3619	2643	10472	5361	1714	1080
Pdia6_-_17266672.23-P1P2	Pdia6	17651	4863	3945	17100	9851	2165	1570
Bag3_+_128523794.23-P1P2	Bag3	10496	3355	2523	8408	4506	1488	984
Stub1_+_25832888.23-P1P2	Stub1	14113	3983	3130	12830	7396	1978	1296
Dnajc27_-_4082677.23-P1P2	Dnajc27	12421	3711	2794	9605	5759	1697	1110
Prpf6_-_181601395.23-P1P2	Prpf6	9107	2659	1917	7565	4180	1062	814
Edem2_-_155729333.23-P1P2	Edem2	12567	3885	3039	11516	7108	1987	1257
Phb_-_95667060.23-P1P2	Phb	16408	4518	3568	13855	8408	1975	1367
non-targeting_01594	non-targeting	12614	3242	2719	10429	5768	1507	997
Fkbp3_-_65073861.23-P1P2	Fkbp3	1829	646	494	1652	865	261	210
Ttc21b_+_66256384.23-P1P2	Ttc21b	5881	1387	1093	5810	3368	728	389
Tmx2_-_84678447.23-P1P2	Tmx2	19029	5221	3936	16585	9672	2129	1545
non-targeting_00576	non-targeting	8293	2223	1779	7605	3920	942	709
non-targeting_01368	non-targeting	7107	2228	1752	6203	3327	973	620
Dnajc14_+_128805629.23-P1P2	Dnajc14	16965	3927	3106	14510	8150	1619	1151
Cct6a_-_129787444.23-P1P2	Cct6a	20359	5952	4549	14320	7833	2129	1532
Sgta_+_81060126.23-P1P2	Sgta	21226	6312	4846	19604	10194	2745	2186
Bag1_-_40948226.23-P1P2	Bag1	18227	5588	4472	15924	9285	2385	1733
Cnot10_+_114640045.23-P1P2	Cnot10	8640	3032	2216	7695	4099	1294	950
Tomm34_-_164070900.23-P1P2	Tomm34	10377	3034	2403	9553	5633	1330	1000
Hspb11_-_107253999.23-P1P2	Hspb11	13711	3456	2551	13259	6834	1594	1263
Dnajb2_-_75236687.23-P1P2	Dnajb2	5943	1537	1151	5252	2861	689	454
Ttc6_+_57564159.23-P1P2	Ttc6	4865	1417	1130	3962	2443	644	445
Ttc36_-_44802849.23-P1P2	Ttc36	4982	1372	1109	4704	2437	579	461
Tusc3_+_39005902.23-P1P2	Tusc3	15961	5089	3762	14852	8869	2117	1606
non-targeting_00542	non-targeting	1480	493	409	1130	676	186	138
Fkbp3_-_65073718.23-P1P2	Fkbp3	2496	794	629	2171	1093	416	243
Dnajb9_+_44210061.23-P1P2	Dnajb9	7624	1871	1380	6651	3779	870	603
Klc2_+_5118241.23-P1P2	Klc2	10296	2576	1961	8123	4680	1208	860
non-targeting_01348	non-targeting	9839	2552	1947	8331	4857	1152	823
non-targeting_01094	non-targeting	9506	3317	2678	8497	5361	1399	1081
Bag1_+_40948258.23-P1P2	Bag1	15502	5033	3736	10522	7138	1741	1111
Ero1lb_+_12565961.23-P1P2	Ero1lb	7803	2126	1609	7130	4469	1045	784
non-targeting_01360	non-targeting	4568	1372	1026	4293	2188	593	380
non-targeting_01340	non-targeting	1745	507	370	1380	763	184	171
Lrp2bp_-_45999351.23-P2	Lrp2bp	8216	2216	1696	7682	5496	914	778
Pdrg1_+_153015301.23-P1P2	Pdrg1	7282	2227	1662	4830	3445	738	511
Bcs1l_-_74588414.23-P1P2	Bcs1l	15027	4859	3806	14575	8197	2094	1496
Pdilt_-_119523347.23-P1P2	Pdilt	13649	3842	2802	12734	7164	1785	1177
non-targeting_00293	non-targeting	5207	1778	1452	4573	2374	728	512
Ttc12_+_49486107.23-P1P2	Ttc12	10806	3097	2444	11001	5180	1533	1081
Nln_-_104109521.23-P1P2	Nln	10187	3040	2333	10048	4749	1282	978
Zc3h7b_-_81745143.23-P1P2	Zc3h7b	4794	1217	957	5030	2546	646	402
Hspa5_+_34772114.23-P1P2	Hspa5	8450	2423	1806	5480	3545	735	511
Gpsm2_+_108722275.23-P1P2	Gpsm2	17082	5973	4751	15137	8648	2389	1880
Psmc1_-_100110193.23-P1P2	Psmc1	17396	5441	4194	15071	7797	2608	1754
Ttc5_-_50785303.23-P1P2	Ttc5	4865	1466	1119	4432	2666	621	536
Phgdh_+_98339660.23-P1P2	Phgdh	7924	2870	2257	7477	3671	1243	889
non-targeting_01619	non-targeting	13126	3791	2826	10280	7423	1438	1105
Bag6_+_35135253.23-P1P2	Bag6	12186	3585	2700	11685	7106	1670	1158
Ppil3_+_58445132.23-P1P2	Ppil3	17177	5500	4060	15944	9040	2346	1699
Dnajc22_-_99099600.23-P1P2	Dnajc22	10847	2737	2058	10298	5350	1288	909
Bag4_-_25785173.23-P1P2	Bag4	13296	3673	2919	11410	6758	1491	1146
Ppp5c_-_17027836.23-P1P2	Ppp5c	5588	1565	1172	5204	2582	772	550
Hsp90b1_+_86705431.23-P1P2	Hsp90b1	16689	3851	2985	14813	8365	1692	1319
non-targeting_00006	non-targeting	3435	940	723	2795	1855	381	190
Hyou1_+_44379643.23-P1P2	Hyou1	8713	2706	2041	7969	4685	1237	794
Dnajb2_+_75236660.23-P1P2	Dnajb2	6148	2490	1984	5566	3524	1007	820
Anapc5_-_122821079.23-P1P2	Anapc5	16245	5744	4232	13757	7920	2264	1683
Ahsa2_-_23497873.23-P1P2	Ahsa2	13383	4387	3287	12210	6343	1821	1268
Aipl1_-_72037440.23-P1P2	Aipl1	5600	1874	1390	4847	3501	752	542
Stip1_+_7039871.23-P1P2	Stip1	18778	6678	5257	16504	8922	2554	1849
non-targeting_01077	non-targeting	14014	4059	3346	13166	7646	1917	1216
Ero1l_+_45318525.23-P1P2	Ero1l	17587	5372	4052	16304	9537	2607	1839
Ttc39a_-_109407180.23-P1P2	Ttc39a	12268	3592	2785	10530	6292	1587	1047
Dnaja3_-_4684169.23-P1P2	Dnaja3	10417	3144	2518	9742	6002	1558	1001
Zfc3h1_-_115385001.23-P1P2	Zfc3h1	10431	3489	2792	9220	5094	1478	1156
non-targeting_00864	non-targeting	12432	3225	2454	10730	5553	1435	1101
Nln_-_104109508.23-P1P2	Nln	16169	4270	3161	14328	8340	1760	1375
Ttc18_+_20452175.23-P1P2	Ttc18	4502	1600	1215	4646	2326	681	504
Dnajc15_-_77874900.23-P1P2	Dnajc15	5232	1493	1098	4388	2696	633	451
Hspb7_+_141420785.23-P1P2	Hspb7	14399	4628	3459	13428	7502	2061	1525
Xab2_-_3621320.23-P1P2	Xab2	952	316	254	914	489	145	104
Nktr_+_121719234.23-P1P2	Nktr	7677	2039	1596	6652	3408	903	613
Chordc1_-_18292297.23-P1P2	Chordc1	13856	4383	3408	13128	7124	1893	1425
Agr3_+_35925668.23-P1P2	Agr3	10169	3377	2581	8923	5069	1336	967
Hspb9_+_100713908.23-P1P2	Hspb9	8417	2411	1790	7099	3875	1078	707
Txndc5_-_38528395.23-P1P2	Txndc5	13504	3657	2682	11501	6612	1690	1139
Txnrd3_+_89644085.23-P1P2	Txnrd3	10838	2559	2036	9479	5245	1303	907
Klc1_-_111758950.23-P1P2	Klc1	15375	4558	3226	15682	8444	2146	1613
Ttc5_+_50785511.23-P1P2	Ttc5	11054	3967	2942	10341	6057	1529	1111
Edem1_-_108828890.23-P1P2	Edem1	5369	1457	1068	4601	2824	731	477
Ttc21a_+_119937671.23-P1P2	Ttc21a	8138	2429	1877	7155	4618	1107	824
Eif2ak3_-_70844809.23-P1P2	Eif2ak3	12752	3636	2688	11185	6560	1635	1168
Fkbp1a_-_151542630.23-P1P2	Fkbp1a	1378	413	297	1108	589	165	141
Hspb9_-_100713955.23-P1P2	Hspb9	9875	2898	2264	9271	5452	1272	798
Ttc4_-_106678847.23-P1P2	Ttc4	2913	865	719	2300	1777	398	286
Fkbp9_-_56832366.23-P1P2	Fkbp9	22045	6576	4884	18555	10787	2930	2000
Usp19_-_108490876.23-P1P2	Usp19	10495	3229	2367	10220	5991	1395	1022
Cdc16_-_13757727.23-P1P2	Cdc16	18543	5803	4197	18005	9964	2416	1757
Grpel1_-_36465196.23-P1P2	Grpel1	15732	4357	3227	14713	8524	1969	1361
Zmynd12_+_119422883.23-P1P2	Zmynd12	14808	4249	3204	13025	8322	1667	1228
Ptgds_+_25469177.23-P1P2	Ptgds	6842	2356	1762	6420	3618	1108	713
Txn2_+_77928950.23-P1	Txn2	5520	1598	1268	4921	2233	669	525
Ttc23_+_67647540.23-P1P2	Ttc23	737	259	182	707	305	118	89
Bbs10_+_111298924.23-P1P2	Bbs10	17957	5700	4353	15864	9785	2528	1859
Txnrd1_-_82859247.23-P1P2	Txnrd1	8272	2155	1601	7197	3865	1038	707
Tmx1_+_70453359.23-P1P2	Tmx1	10265	3147	2437	10271	5406	1478	1144
non-targeting_01087	non-targeting	6055	1757	1416	5277	3725	721	554
non-targeting_01344	non-targeting	1930	598	533	1779	782	325	162
Prpf6_+_181601628.23-P1P2	Prpf6	4712	1439	1117	4225	2410	546	480
Cct4_+_22990704.23-P1P2	Cct4	16338	6050	4793	13838	7346	2250	1684
Sh3tc2_+_61953080.23-P1P2	Sh3tc2	7783	2431	1836	6992	3951	1074	878
non-targeting_01093	non-targeting	13687	4029	3122	11020	6518	1869	1399
Dnajc5_+_181520545.23-P1P2	Dnajc5	15053	4513	3480	11880	7640	1962	1241
Hspa1l_-_34973153.23-P1P2	Hspa1l	6291	2140	1809	5671	3411	918	606
Ero1l_+_45318522.23-P1P2	Ero1l	12443	3726	2889	11698	6457	1901	1296
non-targeting_00048	non-targeting	6633	2245	1744	5561	3505	855	708
non-targeting_01336	non-targeting	7846	1999	1602	7246	3830	874	706
Cdc27_-_104550495.23-P1P2	Cdc27	7902	2458	1930	7039	4652	1309	739
non-targeting_01363	non-targeting	5093	1877	1447	5857	3063	885	594
Srp72_+_76974712.23-P1P2	Srp72	4278	907	690	3755	2343	341	267
Asph_+_9669071.23-P1P2	Asph	13614	4126	3132	12723	8255	1689	1227
Dnajc25_-_59003583.23-P1P2	Dnajc25	11001	3368	2484	10954	5771	1552	1251
Ern1_-_106487777.23-P1P2	Ern1	11700	3593	2746	10517	6150	1675	1238
Tomm70a_+_57121808.23-P1P2	Tomm70a	6574	1733	1244	5457	3011	781	579
Klc3_+_19399873.23-P1	Klc3	4616	1223	959	4169	2588	586	418
Ttc7b_-_100520814.23-P1P2	Ttc7b	11850	3746	2889	10960	5999	1788	1327
St13_-_81399619.23-P1P2	St13	17811	5734	4358	17170	9806	2475	1752
non-targeting_01596	non-targeting	13089	4908	3765	11540	6120	1773	1270
Ppic_-_53417988.23-P1P2	Ppic	13534	4552	3763	11864	6666	1892	1205
Dnajc22_+_99099566.23-P1P2	Dnajc22	9580	2563	1960	8368	4305	1124	810
Dnajc22_+_99099557.23-P1P2	Dnajc22	11407	2766	2125	9960	5803	1231	916
non-targeting_00532	non-targeting	5123	1417	1072	5405	2681	714	472
Dnajc18_+_35703048.23-P1P2	Dnajc18	1684	485	333	1325	781	209	149
Mlf2_-_124931475.23-P1P2	Mlf2	18352	4731	3578	15988	8080	2118	1526
Tmtc4_+_122983201.23-P1P2	Tmtc4	11826	3704	2982	11180	6172	1616	1241
non-targeting_00030	non-targeting	17174	5375	4115	14967	8642	2417	1734
non-targeting_00271	non-targeting	11062	3074	2363	9576	5855	1402	1002
non-targeting_00575	non-targeting	4391	1102	760	4350	2219	512	417
Grpel2_+_61726302.23-P1P2	Grpel2	5052	1713	1320	4440	2591	783	553
Hsp90aa1_-_110696204.23-P1P2	Hsp90aa1	10128	2346	1756	8652	4723	1116	730
Hspb7_+_141420804.23-P1P2	Hspb7	5911	1621	1177	6264	3299	824	594
Pfdn4_+_170511455.23-P1P2	Pfdn4	5793	1720	1349	4823	3389	799	591
Ttc8_+_98920605.23-P1P2	Ttc8	12864	3466	2723	12345	7229	1637	1248
