Guide	Gene	c1	c2	c3	t1	t2	t3	t4
Uxt_+_20961773.23-P1P2	Uxt	9434	3077	2333	8663	4721	1535	980
Dnajc15_+_77874885.23-P1P2	Dnajc15	12566	3834	3112	11179	6799	1757	1163
Wdtc1_-_133339098.23-P1P2	Wdtc1	12648	3532	2636	11123	6841	1559	1186
non-targeting_00256	non-targeting	7369	2748	2015	7078	3864	1241	811
Bbs4_+_59353386.23-P1P2	Bbs4	10891	3265	2473	10007	5921	1522	1093
Cct8l1_-_25516161.23-P1P2	Cct8l1	11837	3889	2966	10359	5697	1760	1338
P4ha2_-_54101022.23-P1	P4ha2	4663	1211	918	4167	2678	619	373
Hspb1_-_135888009.23-P1P2	Hspb1	12084	3885	3003	11351	5952	1774	1136
Gpsm2_+_108722244.23-P1P2	Gpsm2	15456	4455	3401	15193	9404	2037	1535
Ttc30a2_-_75978145.23-P1P2	Ttc30a2	7854	2325	1721	6832	3970	1043	688
Ppif_+_25694446.23-P1P2	Ppif	9687	3027	2406	9822	5359	1396	1112
Dnajc15_-_77874873.23-P1P2	Dnajc15	8371	2411	1896	6934	3770	1044	741
Atad3a_+_155761022.23-P1P2	Atad3a	14443	4442	3469	13076	6876	2017	1457
non-targeting_00044	non-targeting	4941	1291	1083	4347	2499	586	533
Pdia2_+_26196871.23-P2	Pdia2	7215	2032	1649	7318	3682	850	724
Dnajc10_-_80315805.23-P1P2	Dnajc10	15390	4633	3609	13127	8287	1874	1436
Ppwd1_+_104228739.23-P1P2	Ppwd1	18765	5679	4542	17528	10557	2534	1985
Opa1_+_29579493.23-P1P2	Opa1	14879	4032	3005	12360	7860	1703	1166
non-targeting_01334	non-targeting	15876	4708	3649	14581	8851	2313	1645
Ttc39a_-_109407187.23-P1P2	Ttc39a	8957	2523	1901	7213	3787	987	747
Ppig_-_69723027.23-P1P2	Ppig	9672	3178	2459	8346	4929	1401	1073
non-targeting_00014	non-targeting	14340	3689	2912	12379	7078	1498	1133
Hspb1_+_135887996.23-P1P2	Hspb1	8972	2755	2065	7924	4431	1214	862
Nudcd2_-_40733920.23-P1P2	Nudcd2	7780	2285	1789	6886	3722	1191	698
Dnaja4_+_54699613.23-P1P2	Dnaja4	12284	2941	2196	10964	6978	1547	1074
Hsf1_-_76477466.23-P1P2	Hsf1	13920	3851	3138	12153	7278	1665	1132
Aipl1_+_72037430.23-P1P2	Aipl1	4489	1524	1227	4159	2823	579	440
Ttc12_+_49486119.23-P1P2	Ttc12	15710	4860	3617	14541	8401	2168	1618
Hsp90aa1_-_110696346.23-P1P2	Hsp90aa1	4381	1155	944	4183	2261	472	410
Fkbp14_+_54593134.23-P1P2	Fkbp14	17564	6042	4618	15703	9090	2453	1691
Plod2_+_92542495.23-P1P2	Plod2	16092	5487	4233	13154	7845	2379	1547
